L,-139,-24,L
L,-139,137,L
L,-139,-112,L
L,-139,101,L
L,-139,91,L
L,-139,-35,L
L,-139,3_du,L
L,8_du,dat. du.,L
L,8_du,8_fp,L
L,8_du,54,L
L,8_du,pl,L
L,8_du,28,L
L,8_du,137,L
L,8_du,101,L
L,8_du,-35,L
L,8_du,3_du,L
L,-166,dat. du.,L
L,-166,8_fp,L
L,-166,54,L
L,-166,pl,L
L,-166,153,L
L,-166,137,L
L,-166,-112,L
L,-166,101,L
L,-166,-35,L
L,-166,3_du,L
L,139,5_sp,L
L,139,dat. du.,L
L,139,-90,L
L,139,-57,L
L,139,8_fp,L
L,139,169,L
L,139,54,L
L,139,pl,L
L,139,153,L
L,139,135,L
L,139,28,L
L,139,-24,L
L,139,137,L
L,139,-112,L
L,139,101,L
L,139,91,L
L,139,-35,L
L,139,3_du,L
L,92,101,L
L,pl,dat. du.,L
L,pl,54,L
L,pl,101,L
L,pl,3_du,L
L,-91,dat. du.,L
L,-91,-151,L
L,-91,-90,L
L,-91,8_fp,L
L,-91,54,L
L,-91,pl,L
L,-91,153,L
L,-91,28,L
L,-91,-24,L
L,-91,137,L
L,-91,101,L
L,-91,91,L
L,-91,-35,L
L,-91,3_du,L
L,28_sg,5_sp,L
L,28_sg,dat. du.,L
L,28_sg,8_fp,L
L,28_sg,54,L
L,28_sg,pl,L
L,28_sg,153,L
L,28_sg,28,L
L,28_sg,-24,L
L,28_sg,137,L
L,28_sg,-112,L
L,28_sg,101,L
L,28_sg,91,L
L,28_sg,-35,L
L,28_sg,3_du,L
L,148,5_sp,L
L,148,dat. du.,L
L,148,8_fp,L
L,148,54,L
L,148,pl,L
L,148,153,L
L,148,28,L
L,148,-24,L
L,148,137,L
L,148,-112,L
L,148,101,L
L,148,91,L
L,148,-35,L
L,148,3_du,L
L,5_sg,-90,L
L,5_sg,-57,L
L,5_sg,54,L
L,5_sg,-112,L
L,5_sg,101,L
L,5_sg,91,L
L,153,5_sp,L
L,153,dat. du.,L
L,153,-151,L
L,153,-90,L
L,153,-57,L
L,153,8_fp,L
L,153,169,L
L,153,54,L
L,153,pl,L
L,153,153,L
L,153,135,L
L,153,28,L
L,153,-24,L
L,153,137,L
L,153,-112,L
L,153,89,L
L,153,101,L
L,153,91,L
L,153,-35,L
L,153,3_du,L
L,-30,101,L
L,11_sp,dat. du.,L
L,11_sp,8_fp,L
L,11_sp,54,L
L,11_sp,pl,L
L,11_sp,153,L
L,11_sp,28,L
L,11_sp,137,L
L,11_sp,-112,L
L,11_sp,101,L
L,11_sp,-35,L
L,11_sp,3_du,L
L,30_sp,8_fp,L
L,30_sp,54,L
L,30_sp,-24,L
L,30_sp,-112,L
L,30_sp,101,L
L,30_sp,3_du,L
L,135,dat. du.,L
L,135,-151,L
L,135,-90,L
L,135,54,L
L,135,-24,L
L,135,137,L
L,135,-112,L
L,135,101,L
L,-86,dat. du.,L
L,-86,-90,L
L,-86,8_fp,L
L,-86,54,L
L,-86,153,L
L,-86,-24,L
L,-86,137,L
L,-86,-112,L
L,-86,101,L
L,-86,91,L
L,-86,-35,L
L,-86,3_du,L
L,7_fp,5_sp,L
L,7_fp,dat. du.,L
L,7_fp,-57,L
L,7_fp,8_fp,L
L,7_fp,54,L
L,7_fp,pl,L
L,7_fp,153,L
L,7_fp,-24,L
L,7_fp,137,L
L,7_fp,-112,L
L,7_fp,101,L
L,7_fp,91,L
L,7_fp,3_du,L
L,111,dat. du.,L
L,111,54,L
L,111,-24,L
L,111,-112,L
L,111,101,L
L,-92,137,L
L,-92,101,L
L,177,dat. du.,L
L,177,-90,L
L,177,8_fp,L
L,177,54,L
L,177,pl,L
L,177,153,L
L,177,28,L
L,177,-24,L
L,177,137,L
L,177,-112,L
L,177,101,L
L,177,91,L
L,177,-35,L
L,177,3_du,L
L,neutr,dat. du.,L
L,neutr,-151,L
L,neutr,54,L
L,neutr,pl,L
L,neutr,153,L
L,neutr,-24,L
L,neutr,137,L
L,neutr,-112,L
L,neutr,101,L
L,neutr,3_du,L
L,59,dat. du.,L
L,59,137,L
L,59,101,L
L,59,3_du,L
L,29,5_sp,L
L,29,dat. du.,L
L,29,8_fp,L
L,29,54,L
L,29,pl,L
L,29,153,L
L,29,28,L
L,29,137,L
L,29,-112,L
L,29,101,L
L,29,-35,L
L,29,3_du,L
L,156,137,L
L,156,101,L
L,-153,5_sp,L
L,-153,dat. du.,L
L,-153,-151,L
L,-153,-90,L
L,-153,-57,L
L,-153,8_fp,L
L,-153,54,L
L,-153,pl,L
L,-153,153,L
L,-153,-24,L
L,-153,137,L
L,-153,-112,L
L,-153,101,L
L,-153,91,L
L,-153,3_du,L
L,8_tp,5_sp,L
L,8_tp,dat. du.,L
L,8_tp,8_fp,L
L,8_tp,54,L
L,8_tp,pl,L
L,8_tp,153,L
L,8_tp,28,L
L,8_tp,137,L
L,8_tp,-112,L
